,beta0,beta1,beta2,beta3,tau1,tau2
2022-01-27,99.13248333093387,-97.13186119820497,15.283602683516255,18.931504980637822,-2292.0568321239293,-2758.27584477642
2022-01-28,80.58371096598991,-78.58089424744041,7.279727181044018,33.86366858122272,-1976.8498232023628,-2715.8392240715725
2022-01-31,49.95953182311751,-47.94902319286382,-3.70474227477981,82.93017396402219,-1571.444987110675,-3025.249727694431
2022-02-01,41.32556458510835,-39.31153316819277,-0.3640713496224157,67.01218371740832,-1341.017434265779,-2488.56196738377
2022-02-02,165.98707932873657,-163.96615817233715,24.916609639438693,30.84626774668244,-3767.7537852647674,-4005.7888677961323
2022-02-03,38.42168220334959,-36.400958595082464,-0.2564915692757314,62.04028885723029,-1257.6509481985663,-2262.3665944041095
2022-02-04,46.562666264818866,-44.537201026649,-0.8374678151751718,74.15742197801866,-1333.9188846628883,-3118.0532182401357
2022-02-07,-4109.182014451675,4109.3622870616955,4005.8875721147087,53.91730696681037,-809.9971718047614,0.07937075214714318
2022-02-08,177.12485457209675,-174.65415048118197,-249.5714028028958,517.2773212799856,-185.2154431091767,-871.3767787781554
2022-02-09,38.19993633222344,-36.18430590418279,-6.599526790952072,66.62198136072023,-1112.7491170056674,-2524.4876980489466
2022-02-10,181.47835877799548,-178.99647310967256,-257.89203891708394,525.9403504159465,-187.13899746368918,-858.4975558785503
2022-02-11,196.92882162019427,-194.4394169783691,-279.247783299645,557.5379562421641,-193.44828092213274,-883.5081798553598
2022-02-14,53.93678798585699,-51.90253446687807,0.45400544756354566,57.3432078596027,-1550.0957336548643,-2941.522003416051
2022-02-15,55.86141521805811,-53.820641177197295,0.8371630435823348,56.29848765470883,-1492.6875586956367,-3209.661824872321
2022-02-16,56.081698129199175,-54.037572425605,0.6742763745507687,54.18189419631168,-1573.2870042044196,-2721.4789915700107
2022-02-17,61.46955953251405,-59.4211417408195,1.9808101138522503,48.08757356032898,-1577.5411515819283,-2903.2157105912115
2022-02-18,42.3871365409499,-40.33395829117738,-2.892023573857519,64.40954945360164,-1241.8942320999947,-2425.9223064956163
2022-02-21,66.16200451348718,-64.09505072515726,3.0685593886769147,45.92042887208626,-1612.0604103327535,-2859.711880404868
2022-02-22,73.60061943841595,-71.03815784946546,-225.1186012680587,982.088364303415,-186.17124645816827,-951.0578842273657
2022-02-23,60.51278596629372,-57.94698647638766,-198.21811700494277,850.3285645455567,-175.14073810053083,-845.7241418670814
2022-02-24,61.68088904617565,-59.10631403001397,-211.69222430329853,905.3822945397494,-179.95132732889203,-858.6188236446291
2022-02-25,59.48301733060422,-56.90503320650097,-194.20586819187872,826.8390536525662,-172.05571071695832,-823.2971102582364
2022-02-28,58.93966823917403,-56.33686317803468,-203.43152101685678,885.0124491928806,-174.72194757739226,-840.6975190863326
2022-03-01,54.93196393496289,-52.31856665468584,-205.83424575612128,957.4028940412948,-176.21839874705347,-880.9039058092967
2022-03-02,54.825151352689986,-52.20101865155325,-223.69557346240188,1015.7668564162657,-182.43534382769002,-878.02525514858
2022-03-03,61.93030591393636,-59.29891319606199,-208.6763077735793,971.8584912888633,-175.98536099059353,-912.0269034759231
2022-03-04,63.758868819807056,-61.11844054144865,-203.1850260493516,981.2267366861769,-173.46363400781664,-944.9624818994125
2022-03-07,48.31066619680225,-45.64854997970435,-168.14166470006253,781.2145531562575,-157.57422043506944,-783.0375741886334
2022-03-08,59.13304966173237,-56.46107439293464,-196.7870712800945,891.7243981901453,-168.26370219307765,-844.4676964073002
2022-03-09,66.90368995289835,-64.22958718496213,-194.12602158791643,852.2522329163121,-166.11462967301262,-849.6429821394593
2022-03-10,733.6503349136027,-726.4195891785847,77.3868592073249,-19.206215706167107,-3662.656404137257,3.60398527755189
2022-03-11,56.30368941570765,-53.626519685307905,-167.13071628424575,731.6716259934246,-154.78425315469602,-767.2444200225443
2022-03-14,112.62246847783469,-110.46467958560049,-4.831076000459284,21.254692251616937,-1961.6843616329995,-2754.7420724313906
2022-03-15,121.64223220902099,-119.48118315202463,0.501503833104194,16.149631039008852,-2117.102898057964,-2882.4418600656677
2022-03-16,51.012971030453194,-48.85097932282614,-5.259979858333602,51.590867756509496,-1126.685126008961,-2276.510393665227
2022-03-17,57.68078092126666,-55.5159865381243,-5.923270269414362,61.1111575069536,-1262.8417814233276,-2710.766654287812
2022-03-18,50.78552268885731,-48.6184784573181,-2.8828962018071786,42.25362187792952,-1097.643203447175,-2005.731650678398
2022-03-21,129.35918956347453,-126.6403249566159,-189.1647833692337,540.6351194723254,-151.86793607498052,-848.7030398471691
2022-03-22,92.33538479241386,-90.1530103578626,-3.5197185514734954,33.88627469267591,-1707.2148755902872,-2947.961737172142
2022-03-23,53.981421024451016,-51.797335287381884,-2.5781806693835714,35.44068693101752,-1134.2146558550824,-1844.75432961858
2022-03-24,65.87712196237383,-63.6887587595132,-2.6539813312022917,42.42186760926209,-1316.1372787149717,-2494.788542144326
2022-03-25,142.58474235699614,-139.83605994614894,-236.86006885327427,663.4242891684011,-167.9432624801646,-819.7639605091568
2022-03-28,168.06833858155076,-165.2963952280681,-280.29613288374867,751.6446646721786,-179.87340944947022,-857.3622207419753
2022-03-29,142.8112015138926,-140.03850611388404,-234.28788054713388,625.6708585809538,-165.07474433730567,-775.4044279872704
2022-03-30,171.60344251456027,-168.82842256559417,-233.287070745637,489.65831030850086,-160.56994281707497,-768.7454462652679
2022-03-31,38.90193384975935,-36.688229910420574,-6.384540721201005,54.91329394017037,-869.9944121198911,-1778.420746067331
2022-04-01,52.47428171498356,-50.25239616301105,-9.388358129924196,71.94577528918958,-1024.9839523153364,-2661.6392358017038
2022-04-04,61.63244740223991,-59.39716296118901,-8.455405159782487,71.50728009041833,-1299.338153598277,-2417.4446699119967
2022-04-05,42.58121857393992,-39.769811943511534,-157.72052227544685,788.0910877921183,-146.84850560014294,-754.7706405950329
2022-04-06,41.49803337995599,-38.678244377895126,-166.84379627453615,884.677604379544,-151.54754400535177,-813.2084687727673
2022-04-07,5419.924594066989,-5409.357254862055,-5079.893988847636,-27.17404910926911,-431.99990605522305,2.2678392125559683
2022-04-08,8543.740204178463,-8533.113505907404,-8114.869545698368,-27.33706913697768,-541.7626409344966,2.2583236472681567
2022-04-11,41.369857721845335,-38.515265069729644,-172.8575513531992,913.8177151103674,-152.25385138832382,-809.2801022909947
